CallorPut,Strike,Expiration,ExpTime,Quantity,Price,Multiplier,value,days,tau,rate,volatilty
C,3410,1/15/2021,Open,3000,97.65,100,29295000,76.72916667,0.210216895,0.002083808,0.265269317
C,3420,1/15/2021,Open,7000,92.95,100,65065000,76.72916667,0.210216895,0.002083808,0.262766846
C,3490,1/15/2021,Open,-1000,63.45,100,-6345000,76.72916667,0.210216895,0.002083808,0.245577622
C,3500,1/15/2021,Open,-20000,59.75,100,-119500000,76.72916667,0.210216895,0.002083808,0.243199329
C,3430,1/15/2021,Open,4000,88.35,100,35340000,76.72916667,0.210216895,0.002083808,0.260242284
C,3390,1/15/2021,Open,3000,107.35,100,32205000,76.72916667,0.210216895,0.002083808,0.270222449
C,3460,1/15/2021,Open,-1500,75.25,100,-11287500,76.72916667,0.210216895,0.002083808,0.252684071
C,3470,1/15/2021,Open,-12000,71.15,100,-85380000,76.72916667,0.210216895,0.002083808,0.250223435
C,3475,1/15/2021,Open,-3000,69.15,100,-20745000,76.72916667,0.210216895,0.002083808,0.249003283
C,3440,2/26/2021,Close,2000,111.85,100,22370000,119,0.326027397,0.002114999,0.249947365
C,3510,2/26/2021,Close,-6000,81.85,100,-49110000,119,0.326027397,0.002114999,0.236139501
C,3520,2/26/2021,Close,-6000,78,100,-46800000,119,0.326027397,0.002114999,0.234236651
C,3405,12/31/2020,Close,4000,87.1,100,34840000,62,0.169863014,0.001979407,0.269774307
C,3485,12/31/2020,Close,-12500,53.65,100,-67062500,62,0.169863014,0.001979407,0.247780561
C,3415,12/18/2020,Open,2000,70.3,100,14060000,48.72916667,0.133504566,0.001885343,0.272306797
C,3420,12/18/2020,Open,1500,68.2,100,10230000,48.72916667,0.133504566,0.001885343,0.27097362
C,3440,12/18/2020,Open,1000,59.9,100,5990000,48.72916667,0.133504566,0.001885343,0.265076965
C,3490,12/18/2020,Open,-6000,41.95,100,-25170000,48.72916667,0.133504566,0.001885343,0.251141599
C,3500,12/18/2020,Open,-4500,38.9,100,-17505000,48.72916667,0.133504566,0.001885343,0.248663363
C,3515,12/18/2020,Open,-3000,34.6,100,-10380000,48.72916667,0.133504566,0.001885343,0.245000364
